Date,Open,High,Low,Close,Adj Close,Volume
1/1/20,86.839996,97.75,86.400002,93.349998,93.349998,24591400
2/1/20,94.010002,103.339996,84.279999,86.510002,86.510002,30335000
3/1/20,87.309998,98.260002,75.18,91.489998,91.489998,57273300
4/1/20,89.239998,108.25,88.75,97.709999,97.709999,56645100
5/1/20,96.360001,106.269997,94.209999,105.800003,105.800003,40120900
6/1/20,105.050003,107.529999,98.139999,107.089996,107.089996,43001700
7/1/20,106.550003,116.389999,104.889999,112.440002,112.440002,38913100
8/1/20,112.849998,117.839996,105.870003,116.43,116.43,29474300
9/1/20,117.300003,120,104.080002,110.540001,110.540001,32672500
10/1/20,110.949997,115.839996,94.120003,95.120003,95.120003,38339400
11/1/20,96,105.309998,94.139999,103.510002,103.510002,30600500
12/1/20,103.169998,108.940002,101.959999,104.989998,104.989998,30859800
