loan_identifier,debt_to_income_dti,borrower_credit_scoreat_origination
8.94E+11,19,754
8.94E+11,17,790
8.94E+11,18,840
8.94E+11,20,760
8.95E+11,20,786
8.95E+11,14,806
8.95E+11,15,758
8.95E+11,9,806
8.95E+11,19,780
8.95E+11,18,788
8.95E+11,12,799
8.96E+11,18,806
8.96E+11,12,782
8.96E+11,14,791
8.96E+11,18,777
8.96E+11,15,758
8.97E+11,16,813
8.97E+11,14,794
8.97E+11,11,800
8.97E+11,8,791
8.97E+11,20,813
8.97E+11,18,767
8.97E+11,15,761
8.97E+11,18,760
8.97E+11,5,802
8.97E+11,19,804
8.97E+11,15,777
8.98E+11,20,785
8.98E+11,18,784
8.98E+11,20,792
8.98E+11,19,797
8.98E+11,20,778
8.98E+11,11,776
8.98E+11,9,766
8.99E+11,14,755
8.99E+11,20,766
8.99E+11,17,801
8.99E+11,10,782
8.99E+11,6,814
8.99E+11,17,760
9.00E+11,15,763
9.00E+11,17,757
9.00E+11,11,813
9.00E+11,20,781
9.01E+11,14,750
9.01E+11,15,778
9.01E+11,12,791
9.01E+11,19,770
9.01E+11,16,755
9.01E+11,12,801
9.01E+11,5,800
9.01E+11,19,785
9.01E+11,19,783
9.01E+11,14,791
9.02E+11,14,809
9.02E+11,20,812
9.02E+11,12,780
9.02E+11,15,796
9.02E+11,20,799
9.02E+11,19,785
9.02E+11,14,817
9.02E+11,14,826
9.02E+11,14,813
9.02E+11,17,787
9.02E+11,20,795
9.03E+11,13,776
9.03E+11,10,767
9.03E+11,12,816
9.03E+11,20,786
9.03E+11,20,757
9.04E+11,16,762
9.04E+11,20,812
9.04E+11,14,781
9.04E+11,18,806
9.04E+11,17,750
9.04E+11,10,779
9.04E+11,9,754
9.04E+11,13,781
9.04E+11,10,767
9.04E+11,19,813
9.04E+11,18,770
9.05E+11,18,788
9.05E+11,15,796
9.05E+11,7,810
9.05E+11,13,799
9.05E+11,20,793
9.05E+11,20,799
9.05E+11,17,801
9.06E+11,14,794
9.06E+11,19,789
9.06E+11,10,782
9.06E+11,19,771
9.06E+11,18,789
9.06E+11,17,781
9.07E+11,17,816
9.07E+11,15,754
9.07E+11,20,784
9.07E+11,16,805
9.07E+11,17,770
9.07E+11,17,799
9.07E+11,10,793
9.07E+11,10,800
9.07E+11,15,793
9.07E+11,18,800
9.08E+11,18,779
9.08E+11,17,777
9.08E+11,16,817
9.08E+11,18,808
9.08E+11,12,769
9.08E+11,20,803
9.09E+11,15,804
9.09E+11,19,801
9.09E+11,18,796
9.09E+11,6,758
9.09E+11,17,786
9.09E+11,17,780
9.09E+11,12,761
9.09E+11,19,780
9.09E+11,10,750
9.10E+11,18,797
9.10E+11,14,792
9.10E+11,10,794
9.10E+11,13,794
9.10E+11,10,790
9.10E+11,18,797
9.11E+11,18,763
9.11E+11,4,758
9.11E+11,19,816
9.11E+11,18,804
9.11E+11,16,809
9.11E+11,20,779
9.11E+11,14,769
9.11E+11,16,793
9.12E+11,6,777
9.12E+11,18,817
9.12E+11,18,755
9.12E+11,20,811
9.12E+11,20,771
9.12E+11,15,813
9.13E+11,12,791
9.13E+11,17,803
9.13E+11,10,804
9.13E+11,17,795
9.13E+11,10,755
9.14E+11,16,809
9.14E+11,11,798
9.14E+11,10,795
9.14E+11,18,758
9.14E+11,17,795
9.14E+11,20,773
9.14E+11,14,804
9.14E+11,20,804
9.14E+11,15,753
9.14E+11,8,786
9.15E+11,17,770
9.15E+11,20,788
9.15E+11,18,804
9.15E+11,12,793
9.15E+11,11,806
9.16E+11,14,776
9.16E+11,19,775
9.16E+11,19,767
9.16E+11,17,772
9.16E+11,10,784
9.16E+11,14,815
9.16E+11,13,778
9.17E+11,18,794
9.17E+11,15,804
9.17E+11,20,756
9.17E+11,17,795
9.17E+11,18,807
9.17E+11,19,812
9.17E+11,15,775
9.17E+11,20,777
9.17E+11,20,775
9.17E+11,8,811
9.17E+11,17,753
9.17E+11,8,784
9.18E+11,16,778
9.18E+11,18,799
9.18E+11,16,792
9.18E+11,19,816
9.18E+11,15,791
9.18E+11,17,805
9.19E+11,18,791
9.19E+11,20,786
9.19E+11,17,790
9.19E+11,4,778
9.19E+11,13,813
9.19E+11,19,783
9.19E+11,19,772
9.19E+11,5,776
9.20E+11,17,809
9.20E+11,18,794
9.20E+11,16,755
9.20E+11,16,781
9.20E+11,5,779
9.20E+11,19,751
9.20E+11,9,801
9.21E+11,17,810
9.21E+11,9,803
9.21E+11,15,791
9.21E+11,15,786
9.21E+11,17,783
9.21E+11,14,765
9.21E+11,10,788
9.21E+11,18,795
9.21E+11,17,787
9.21E+11,14,816
9.22E+11,15,784
9.22E+11,13,800
9.22E+11,20,750
9.22E+11,13,776
9.22E+11,15,780
9.22E+11,4,771
9.22E+11,12,814
9.22E+11,15,797
9.23E+11,12,793
9.23E+11,17,756
9.23E+11,19,779
9.23E+11,6,777
9.23E+11,17,794
9.23E+11,20,765
9.23E+11,17,800
9.23E+11,15,792
9.23E+11,13,790
9.24E+11,13,754
9.24E+11,16,814
9.24E+11,17,800
9.24E+11,11,814
9.24E+11,15,782
9.24E+11,18,786
9.25E+11,13,808
9.25E+11,12,809
9.25E+11,20,782
9.26E+11,16,757
9.26E+11,17,780
9.26E+11,15,781
9.26E+11,9,791
9.26E+11,17,788
9.26E+11,11,758
9.27E+11,19,803
9.27E+11,15,777
9.27E+11,17,810
9.27E+11,16,777
9.27E+11,17,779
9.27E+11,18,762
9.27E+11,16,788
9.27E+11,17,776
9.27E+11,15,779
9.28E+11,15,813
9.28E+11,20,787
9.28E+11,9,751
9.28E+11,7,767
9.28E+11,9,774
9.28E+11,19,798
9.28E+11,17,779
9.28E+11,7,786
9.28E+11,15,750
9.28E+11,20,793
9.29E+11,19,804
9.29E+11,11,755
9.29E+11,19,768
9.29E+11,20,770
9.29E+11,18,769
9.29E+11,19,750
9.29E+11,17,795
9.30E+11,13,771
9.30E+11,7,796
9.30E+11,15,760
9.30E+11,10,789
9.30E+11,20,776
9.31E+11,7,767
9.31E+11,15,791
9.31E+11,6,775
9.31E+11,7,766
9.31E+11,10,800
9.31E+11,15,801
9.31E+11,19,798
9.31E+11,17,791
9.31E+11,12,785
9.31E+11,6,814
9.32E+11,13,797
9.32E+11,18,803
9.32E+11,19,799
9.32E+11,17,760
9.32E+11,16,786
9.32E+11,4,803
9.33E+11,14,750
9.33E+11,20,778
9.33E+11,11,802
9.33E+11,13,764
9.33E+11,17,812
9.33E+11,12,790
9.33E+11,13,772
9.33E+11,19,758
9.33E+11,14,809
9.34E+11,9,755
9.34E+11,11,784
9.34E+11,11,796
9.34E+11,19,752
9.34E+11,17,786
9.34E+11,18,762
9.35E+11,12,751
9.35E+11,14,776
9.35E+11,13,761
9.35E+11,18,794
9.35E+11,14,804
9.35E+11,20,796
9.35E+11,19,773
9.35E+11,13,817
9.35E+11,15,759
9.36E+11,19,750
9.36E+11,14,789
9.36E+11,16,789
9.36E+11,17,784
9.36E+11,15,809
9.36E+11,20,806
9.36E+11,16,765
9.36E+11,16,790
9.36E+11,19,801
9.36E+11,20,767
9.37E+11,16,799
9.37E+11,19,790
9.37E+11,20,793
9.37E+11,11,802
9.37E+11,20,778
9.37E+11,15,771
9.37E+11,18,757
9.37E+11,10,754
9.37E+11,15,814
9.37E+11,16,812
9.37E+11,12,783
9.38E+11,19,751
9.38E+11,16,774
9.38E+11,15,766
9.39E+11,17,806
9.39E+11,10,791
9.39E+11,16,805
9.39E+11,9,794
9.39E+11,16,795
9.39E+11,10,772
9.39E+11,20,809
9.39E+11,18,750
9.40E+11,20,787
9.40E+11,16,791
9.40E+11,17,804
9.40E+11,20,785
9.40E+11,15,811
9.40E+11,18,816
9.40E+11,16,778
9.41E+11,15,764
9.41E+11,20,785
9.41E+11,10,803
9.41E+11,18,789
9.41E+11,19,787
9.41E+11,20,802
9.41E+11,12,817
9.41E+11,12,797
9.42E+11,18,784
9.42E+11,9,781
9.42E+11,16,797
9.42E+11,18,788
9.42E+11,18,806
9.42E+11,19,788
9.42E+11,12,773
9.43E+11,11,819
9.43E+11,16,760
9.43E+11,15,791
9.43E+11,15,801
9.43E+11,18,756
9.43E+11,18,754
9.44E+11,20,817
9.44E+11,13,810
9.44E+11,2,771
9.44E+11,16,795
9.44E+11,20,798
9.44E+11,11,780
9.44E+11,18,796
9.44E+11,7,773
9.44E+11,12,831
9.45E+11,8,791
9.45E+11,10,798
9.45E+11,19,790
9.45E+11,16,799
9.45E+11,11,792
9.45E+11,18,789
9.45E+11,13,807
9.45E+11,11,780
9.45E+11,18,776
9.46E+11,12,755
9.46E+11,14,814
9.46E+11,12,761
9.47E+11,15,804
9.47E+11,7,785
9.47E+11,16,765
9.47E+11,12,768
9.47E+11,16,788
9.47E+11,20,800
9.47E+11,16,797
9.48E+11,20,787
9.48E+11,20,812
9.48E+11,19,805
9.48E+11,12,786
9.49E+11,15,799
9.49E+11,8,793
9.49E+11,18,801
9.49E+11,20,801
9.49E+11,18,795
9.50E+11,6,789
9.50E+11,12,798
9.50E+11,10,763
9.50E+11,10,797
9.50E+11,17,786
9.50E+11,15,765
9.51E+11,13,760
9.51E+11,18,780
9.51E+11,17,806
9.51E+11,14,780
9.51E+11,17,782
9.51E+11,20,794
9.51E+11,13,814
9.52E+11,17,751
9.52E+11,10,786
9.52E+11,17,812
9.53E+11,18,781
9.53E+11,18,802
9.53E+11,15,774
9.53E+11,8,778
9.53E+11,13,796
9.54E+11,15,800
9.54E+11,19,806
9.54E+11,20,776
9.54E+11,17,802
9.54E+11,15,778
9.54E+11,14,780
9.54E+11,11,767
9.55E+11,13,805
9.55E+11,20,763
9.55E+11,13,789
9.55E+11,17,799
9.55E+11,18,809
9.55E+11,16,795
9.55E+11,17,793
9.56E+11,18,770
9.56E+11,18,800
9.56E+11,9,784
9.56E+11,18,777
9.56E+11,15,812
9.56E+11,19,752
9.56E+11,11,774
9.56E+11,19,755
9.56E+11,15,775
9.57E+11,9,791
9.57E+11,18,811
9.57E+11,11,781
9.57E+11,12,812
9.57E+11,15,759
9.57E+11,18,781
9.57E+11,15,809
9.57E+11,20,796
9.57E+11,14,802
9.57E+11,16,784
9.57E+11,20,775
9.58E+11,14,788
9.58E+11,9,769
9.58E+11,15,784
9.58E+11,15,804
9.58E+11,15,802
9.58E+11,19,820
9.59E+11,19,808
9.59E+11,19,750
9.59E+11,20,776
9.59E+11,16,792
9.59E+11,14,811
9.59E+11,20,786
9.59E+11,19,777
9.59E+11,13,769
9.59E+11,18,755
9.59E+11,15,757
9.60E+11,20,798
9.60E+11,16,775
9.60E+11,12,771
9.60E+11,8,783
9.60E+11,19,784
9.60E+11,20,798
9.60E+11,15,808
9.60E+11,14,809
9.60E+11,19,763
9.60E+11,17,770
9.60E+11,16,804
9.60E+11,13,767
9.60E+11,20,801
9.61E+11,18,777
9.61E+11,18,801
9.61E+11,18,757
9.61E+11,14,804
9.61E+11,15,809
9.61E+11,6,768
9.61E+11,2,786
9.62E+11,20,786
9.62E+11,19,794
9.62E+11,13,814
9.62E+11,17,776
9.62E+11,13,794
9.62E+11,20,817
9.62E+11,14,789
9.62E+11,6,797
9.63E+11,16,772
9.63E+11,9,791
9.63E+11,11,816
9.63E+11,20,785
9.63E+11,16,759
9.63E+11,17,773
9.63E+11,20,774
9.63E+11,18,771
9.64E+11,20,784
9.64E+11,19,779
9.64E+11,19,816
9.64E+11,6,757
9.64E+11,20,801
9.64E+11,5,793
9.64E+11,12,821
9.64E+11,20,817
9.65E+11,18,790
9.65E+11,12,752
9.65E+11,20,813
9.65E+11,17,806
9.65E+11,10,790
9.65E+11,17,764
9.65E+11,19,793
9.65E+11,12,793
9.65E+11,17,766
9.66E+11,20,754
9.66E+11,13,764
9.66E+11,15,750
9.66E+11,20,782
9.66E+11,18,755
9.66E+11,20,765
9.66E+11,19,799
9.66E+11,20,781
9.66E+11,19,758
9.66E+11,20,773
9.66E+11,14,797
9.66E+11,9,802
9.67E+11,18,788
9.67E+11,18,788
9.67E+11,19,769
9.67E+11,14,778
9.67E+11,15,760
9.68E+11,13,788
9.68E+11,7,790
9.68E+11,15,791
9.68E+11,10,783
9.68E+11,18,750
9.69E+11,18,784
9.69E+11,9,777
9.69E+11,17,796
9.69E+11,20,802
9.69E+11,10,819
9.69E+11,20,791
9.69E+11,13,778
9.69E+11,18,788
9.69E+11,11,777
9.69E+11,20,769
9.69E+11,19,786
9.69E+11,6,815
9.69E+11,20,767
9.70E+11,10,775
9.70E+11,19,812
9.70E+11,9,800
9.70E+11,20,750
9.70E+11,12,804
9.70E+11,17,810
9.70E+11,20,810
9.70E+11,14,786
9.70E+11,20,783
9.71E+11,14,793
9.71E+11,20,808
9.71E+11,20,780
9.71E+11,15,790
9.71E+11,15,807
9.71E+11,12,792
9.71E+11,18,802
9.71E+11,8,804
9.72E+11,14,793
9.72E+11,13,789
9.72E+11,16,772
9.72E+11,15,807
9.72E+11,20,797
9.72E+11,8,764
9.72E+11,18,753
9.72E+11,18,778
9.73E+11,12,809
9.73E+11,4,812
9.73E+11,17,783
9.73E+11,18,798
9.73E+11,16,806
9.73E+11,18,809
9.73E+11,10,772
9.73E+11,13,810
9.73E+11,9,793
9.74E+11,13,789
9.74E+11,14,805
9.74E+11,19,802
9.74E+11,15,802
9.74E+11,10,814
9.74E+11,19,758
9.75E+11,15,808
9.75E+11,20,796
9.75E+11,15,801
9.75E+11,19,777
9.75E+11,20,765
9.75E+11,19,808
9.75E+11,19,797
9.76E+11,19,799
9.76E+11,15,758
9.76E+11,8,770
9.76E+11,17,775
9.76E+11,14,774
9.76E+11,20,752
9.76E+11,14,798
9.76E+11,17,764
9.76E+11,14,776
9.76E+11,15,754
9.76E+11,18,774
9.76E+11,8,806
9.76E+11,18,782
9.76E+11,11,767
9.76E+11,19,769
9.77E+11,18,773
9.77E+11,13,758
9.77E+11,7,760
9.77E+11,14,802
9.77E+11,20,750
9.77E+11,14,799
9.77E+11,18,750
9.77E+11,20,765
9.78E+11,18,774
9.79E+11,19,766
9.79E+11,12,770
9.79E+11,8,770
9.79E+11,19,816
9.80E+11,15,779
9.80E+11,18,780
9.80E+11,17,779
9.80E+11,11,801
9.80E+11,10,783
9.80E+11,14,780
9.80E+11,15,801
9.81E+11,19,804
9.81E+11,13,799
9.81E+11,13,809
9.81E+11,12,784
9.81E+11,10,799
9.81E+11,13,787
9.81E+11,19,750
9.81E+11,19,766
9.81E+11,15,795
9.81E+11,14,812
9.81E+11,17,760
9.82E+11,20,793
9.82E+11,20,797
9.82E+11,13,782
9.82E+11,16,762
9.82E+11,15,810
9.82E+11,10,786
9.82E+11,12,780
9.82E+11,16,796
9.82E+11,15,797
9.83E+11,18,753
9.83E+11,10,777
9.83E+11,18,796
9.83E+11,12,810
9.83E+11,17,803
9.83E+11,18,755
9.83E+11,18,817
9.83E+11,11,804
9.83E+11,15,755
9.83E+11,12,781
9.83E+11,16,809
9.84E+11,12,808
9.84E+11,20,754
9.84E+11,19,796
9.84E+11,6,786
9.85E+11,14,780
9.85E+11,13,800
9.85E+11,19,804
9.85E+11,16,757
9.85E+11,16,792
9.85E+11,20,809
9.85E+11,7,798
9.86E+11,18,766
9.86E+11,8,800
9.86E+11,20,815
9.86E+11,14,759
9.86E+11,20,804
9.86E+11,16,801
9.86E+11,19,797
9.86E+11,20,763
9.87E+11,10,778
9.87E+11,15,782
9.87E+11,10,759
9.87E+11,20,812
9.87E+11,16,771
9.87E+11,9,795
9.87E+11,19,796
9.88E+11,16,781
9.88E+11,19,755
9.88E+11,20,813
9.88E+11,20,797
9.88E+11,20,780
9.88E+11,8,756
9.88E+11,18,768
9.88E+11,12,796
9.88E+11,20,796
9.89E+11,11,751
9.89E+11,18,811
9.89E+11,15,804
9.89E+11,16,760
9.89E+11,9,799
9.90E+11,18,761
9.90E+11,20,787
9.90E+11,16,789
9.90E+11,17,807
9.90E+11,15,803
9.90E+11,7,803
9.90E+11,16,755
9.90E+11,12,793
9.91E+11,17,761
9.91E+11,13,794
9.91E+11,19,753
9.91E+11,19,765
9.91E+11,17,808
9.91E+11,15,759
9.91E+11,13,793
9.91E+11,16,801
9.91E+11,10,781
9.91E+11,13,786
9.91E+11,8,806
9.91E+11,14,777
9.92E+11,6,799
9.92E+11,17,816
9.92E+11,15,813
9.92E+11,18,799
9.92E+11,11,750
9.92E+11,15,798
9.92E+11,15,750
9.93E+11,19,752
9.93E+11,19,759
9.93E+11,20,777
9.93E+11,13,803
9.93E+11,20,785
9.94E+11,10,810
9.94E+11,20,790
9.94E+11,13,781
9.94E+11,9,756
9.94E+11,17,786
9.94E+11,15,788
9.94E+11,19,798
9.94E+11,20,810
9.94E+11,14,802
9.94E+11,11,790
9.95E+11,17,755
9.95E+11,18,809
9.95E+11,14,798
9.95E+11,6,788
9.96E+11,19,754
9.96E+11,15,785
9.96E+11,16,802
9.96E+11,20,792
9.96E+11,13,773
9.96E+11,14,812
9.97E+11,10,817
9.97E+11,19,763
9.97E+11,15,808
9.97E+11,18,776
9.97E+11,16,771
9.98E+11,13,814
9.98E+11,8,788
9.98E+11,10,780
9.98E+11,15,780
9.98E+11,3,755
9.98E+11,10,797
9.98E+11,7,785
9.98E+11,15,791
9.98E+11,6,794
9.99E+11,15,778
9.99E+11,16,774
9.99E+11,16,794
1.00E+12,13,774
1.00E+12,17,816
1.00E+12,20,781
1.00E+12,19,800
